Região,Mês,Alimentação,Habitação,Residência,Vestuário,Transportes,Saúde,Despesas Pessoais,Educação,Comunicação,Alimentação (Peso),Habitação (Peso),Residência (Peso),Vestuário (Peso),Transportes (Peso),Saúde (Peso),Despesas Pessoais (Peso),Educação (Peso),Comunicação (Peso)
Belém (PA),janeiro 2012,"1,02","0,5","0,25","0,28","0,55","0,65","0,21","0,32","0,2","32,0015","12,1479","5,6793","9,3929","13,7599","10,5512","7,8447","4,5025","4,1202"
Belém (PA),fevereiro 2012,"0,55","1,1","-0,26","-0,69","-0,44","0,55","1,38","6,05","0,01","32,1311","12,1348","5,659","9,3621","13,7512","10,5553","7,8134","4,4895","4,1035"
Belém (PA),março 2012,"1,14","0,1","0,18","-0,9","-0,07","0,08","1,07","0,4","-0,4","32,1134","12,1933","5,6103","9,241","13,6078","10,5492","7,8734","4,7324","4,0791"
Belém (PA),abril 2012,"1,3","0,45","-0,98","0,53","0,11","1,24","2,02","0,06","-0,23","32,3537","12,1578","5,5987","9,122","13,5451","10,5165","7,9265","4,7329","4,0469"
Belém (PA),maio 2012,"0,75","0,51","0,2","0,35","-0,25","0,59","0,85","-0,05","-0,26","32,525","12,119","5,5013","9,1006","13,4567","10,5657","8,0253","4,6996","4,0068"
Belém (PA),junho 2012,"0,15","0,49","0,35","0,35","-0,08","0,36","0,49","-0,17","0,29","32,627","12,1284","5,4887","9,0934","13,3651","10,582","8,0591","4,677","3,9794"
Belém (PA),julho 2012,"0,23","0,06","0,06","0,15","0,38","0,05","0,58","0,12","0,39","32,6007","12,1596","5,4955","9,1047","13,3239","10,5953","8,0802","4,6584","3,9818"
Belém (PA),agosto 2012,"0,47","1,28","0,83","0,35","1,81","0,53","0,26","0,47","-0,21","32,603","12,14","5,4866","9,098","13,3445","10,5769","8,1092","4,6536","3,9882"
Belém (PA),setembro 2012,"1,03","1,06","0,3","0,83","0,2","0,65","0,6","0,15","0,1","32,523","12,2074","5,4928","9,0648","13,489","10,5572","8,0724","4,6422","3,9514"
Belém (PA),outubro 2012,"3,05","-0,98","0,14","0,82","0,14","0,43","-0,27","-0,14","0,69","32,6269","12,2499","5,4703","9,0749","13,4202","10,5508","8,0634","4,6163","3,9273"
